""	"LMD_S14.vs.total_S14"
"AC185276.2_FG006"	0
"AC185277.2_FG001"	0
"AC185279.3_FG002"	0
"AC185281.5_FG006"	0
"AC185286.3_FG012"	-2.52660418714925
"AC185287.3_FG001"	0
"AC185296.2_FG006"	0
"AC185299.3_FG002"	-2.18509708558472
"AC185300.4_FG002"	0
"AC185301.3_FG001"	0
"AC185301.3_FG005"	0
"AC185304.4_FG008"	0.65056902019639
"AC185304.4_FG010"	-2.52743983480779
"AC185305.3_FG003"	0
"AC185306.4_FG004"	0
"AC185309.5_FG001"	0
"AC185310.4_FG002"	0
"AC185313.5_FG001"	0
"AC185313.5_FG006"	0
"AC185314.4_FG008"	0.423445153812467
"AC185321.3_FG003"	0
"AC185322.3_FG008"	0
"AC185322.3_FG010"	0
"AC185322.3_FG011"	0
"AC185323.3_FG001"	0
"AC185323.3_FG002"	0
"AC185411.3_FG003"	0
"AC185413.3_FG002"	0
"AC185413.3_FG005"	0
"AC185414.3_FG002"	0
"AC185414.3_FG003"	3.5688520478103
"AC185415.3_FG005"	-1.72257762391942
"AC185418.3_FG006"	0
"AC185418.3_FG007"	0
"AC185421.3_FG003"	0
"AC185421.3_FG005"	0
"AC185422.3_FG005"	-7.18788236373042
"AC185427.5_FG001"	0
"AC185427.5_FG004"	0
"AC185429.3_FG005"	0
"AC185430.3_FG003"	0.0436503844125102
"AC185434.4_FG004"	0
"AC185436.3_FG004"	1.66949003999198
"AC185436.3_FG005"	0
"AC185438.2_FG001"	0
"AC185442.3_FG002"	-4.61707991769339
"AC185443.3_FG004"	1.66949003999198
"AC185445.3_FG001"	0
"AC185448.2_FG005"	-3.01512380224226
"AC185449.3_FG006"	0
"AC185453.3_FG002"	0
"AC185455.3_FG001"	0
"AC185458.4_FG003"	0
"AC185460.3_FG004"	-2.96821153137695
"AC185464.3_FG001"	0
"AC185464.3_FG003"	-6.28834112818427
"AC185466.3_FG001"	-3.22163093480573
"AC185467.3_FG001"	0
"AC185468.3_FG002"	0
"AC185468.3_FG003"	1.66949003999198
"AC185471.3_FG005"	0.21041764823668
"AC185473.3_FG005"	0
"AC185474.3_FG005"	-2.18578571685146
"AC185474.3_FG009"	0
"AC185475.3_FG001"	2.49995076546686
"AC185478.4_FG004"	0
"AC185478.4_FG005"	-4.18018871126522
"AC185478.4_FG007"	0
"AC185479.3_FG006"	-4.71014251196497
"AC185481.5_FG001"	0
"AC185482.3_FG001"	0
