""	"Tausta_2014.M.Section_4.1"	"Tausta_2014.M.Section_4.2"	"Tausta_2014.M.Section_9.1"	"Tausta_2014.M.Section_9.2"	"Tausta_2014.M.Section_14.1"	"Tausta_2014.M.Section_14.2"	"Tausta_2014.BS.Section_4.1"	"Tausta_2014.BS.Section_4.2"	"Tausta_2014.BS.Section_9.1"	"Tausta_2014.BS.Section_9.2"	"Tausta_2014.BS.Section_14.1"	"Tausta_2014.BS.Section_14.2"
"GRMZM2G124299"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124301"	0	1	4	2	3	0	0	0	1	0	0	0
"GRMZM2G124307"	778	949	1271	1201	348	336	2699	1468	2464	2285	266	597
"GRMZM2G124312"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124313"	50	29	175	169	106	62	47	25	131	153	70	84
"GRMZM2G124317"	3	9	11	12	14	6	3	4	7	18	7	15
"GRMZM2G124321"	53	30	227	172	43	45	56	50	69	157	28	15
"GRMZM2G124335"	127	228	2332	2422	1511	1460	359	361	1759	1389	1236	1531
"GRMZM2G124339"	0	1	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124353"	17	12	0	1	15	19	118	110	51	37	51	66
"GRMZM2G124357"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124361"	0	0	0	0	0	1	0	0	0	0	0	0
"GRMZM2G124365"	10	11	11	11	22	13	59	48	42	39	19	26
"GRMZM2G124371"	12	5	10	6	1	8	7	3	9	0	1	0
"GRMZM2G124374"	0	1	0	0	32	7	0	0	0	0	12	21
"GRMZM2G124377"	13	12	44	51	20	17	9	17	50	68	23	24
"GRMZM2G124389"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124396"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124409"	0	1	0	0	0	2	1	0	0	1	0	0
"GRMZM2G124411"	136	131	244	235	429	331	460	425	215	186	241	339
"GRMZM2G124416"	63	69	414	527	202	130	89	74	440	350	98	139
"GRMZM2G124417"	4	4	3	2	1	4	23	19	15	24	2	25
"GRMZM2G124421"	7	10	20	16	30	13	11	5	26	17	12	13
"GRMZM2G124423"	0	0	5	3	2	1	0	1	2	3	0	0
"GRMZM2G124428"	0	0	0	2	0	0	0	0	0	0	0	0
"GRMZM2G124434"	3435	5335	5149	5595	2882	2977	3976	3138	3043	2548	1369	2367
"GRMZM2G124436"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124439"	0	0	0	0	0	0	0	0	0	0	1	0
"GRMZM2G124441"	56	46	152	127	540	454	65	56	177	131	171	178
"GRMZM2G124449"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124455"	37	27	28	25	34	18	191	206	226	237	111	164
"GRMZM2G124457"	1	2	9	6	2	1	6	2	16	4	1	4
"GRMZM2G124460"	6	0	2	0	2	1	1	3	0	0	3	2
"GRMZM2G124462"	0	0	0	1	0	0	0	0	0	0	0	0
"GRMZM2G124466"	109	140	486	438	185	201	142	173	354	316	92	196
"GRMZM2G124473"	1496	1916	9534	10427	1056	931	2389	1894	5772	5652	885	891
"GRMZM2G124476"	76	63	184	253	57	58	100	90	161	164	34	31
"GRMZM2G124477"	0	2	1	9	5	1	0	0	0	0	0	3
"GRMZM2G124490"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124495"	14	15	36	30	20	9	1	4	4	11	9	1
"GRMZM2G124502"	5	17	179	159	122	77	10	11	133	127	42	76
"GRMZM2G124507"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124509"	78	73	120	62	47	16	97	103	96	80	18	38
"GRMZM2G124520"	0	0	0	1	0	0	1	1	2	0	0	0
"GRMZM2G124524"	0	0	2	2	0	0	1	0	1	1	0	0
"GRMZM2G124530"	5	1	21	9	22	8	4	6	14	18	13	8
"GRMZM2G124532"	53	33	131	150	51	31	59	54	152	176	44	49
"GRMZM2G124540"	6	2	1	0	0	0	4	5	2	2	1	7
"GRMZM2G124550"	0	0	1	0	2	3	3	2	4	2	0	2
"GRMZM2G124553"	0	0	1	0	1	1	0	2	2	1	1	0
"GRMZM2G124555"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124557"	3	10	21	20	32	23	13	12	13	13	31	33
"GRMZM2G124560"	1	2	4	7	0	0	2	2	6	5	0	0
"GRMZM2G124563"	7	8	35	20	17	4	10	18	19	14	9	10
"GRMZM2G124566"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124567"	7	3	0	0	3	1	0	1	1	0	3	5
"GRMZM2G124571"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G124573"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124576"	2	1	12	6	61	33	33	35	13	6	10	42
"GRMZM2G124577"	0	1	1	0	0	0	0	0	1	0	0	0
"GRMZM2G124588"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124593"	0	1	34	16	19	9	4	4	24	20	15	6
"GRMZM2G124600"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124602"	1	0	0	0	0	0	0	1	0	0	0	0
"GRMZM2G124603"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124611"	0	0	4	3	2	0	0	0	0	0	1	6
"GRMZM2G124616"	0	1	0	1	1	1	3	2	0	1	0	0
"GRMZM2G124617"	18	23	66	48	55	43	42	35	172	202	24	32
"GRMZM2G124630"	8	9	49	54	3	7	9	16	35	41	16	14
"GRMZM2G124631"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124636"	57	73	130	116	61	25	121	132	103	72	87	137
"GRMZM2G124638"	9	4	10	13	5	7	3	0	5	15	5	2
"GRMZM2G124642"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124644"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124654"	0	0	0	0	0	0	0	1	0	0	0	0
"GRMZM2G124658"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124659"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124663"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124667"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124671"	1	4	1	1	3	1	3	6	3	2	2	5
"GRMZM2G124682"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G124684"	0	0	0	0	0	0	1	1	0	0	0	0
"GRMZM2G124689"	0	0	0	0	0	0	0	0	0	1	0	0
"GRMZM2G124691"	4	1	4	8	0	0	6	4	1	6	0	0
"GRMZM2G124701"	22	31	75	77	84	74	37	25	45	69	32	36
"GRMZM2G124708"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124715"	0	0	0	1	0	0	0	1	1	0	0	0
"GRMZM2G124718"	4	0	3	1	12	5	8	10	8	4	2	11
"GRMZM2G124720"	0	0	0	0	2	0	0	0	0	0	0	0
"GRMZM2G124726"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124732"	15	11	29	26	0	3	7	11	6	2	0	0
"GRMZM2G124733"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124735"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124739"	0	0	2	0	0	0	0	0	0	0	0	0
"GRMZM2G124744"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124745"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G124755"	0	1	0	0	0	1	0	0	0	0	0	0
"GRMZM2G124758"	49	48	111	107	47	35	38	32	68	49	27	100
"GRMZM2G124759"	0	0	0	0	0	1	1	0	0	0	0	0
"GRMZM2G124767"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124785"	0	0	0	1	0	0	0	0	2	0	0	0
"GRMZM2G124791"	545	629	1126	1229	1139	1098	1674	1506	3656	3325	1226	1957
"GRMZM2G124794"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124797"	1	2	4	0	3	0	1	3	0	2	2	3
"GRMZM2G124799"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124802"	1	0	0	0	2	0	5	7	1	0	0	0
"GRMZM2G124805"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124809"	0	0	0	0	0	0	0	1	0	0	0	1
"GRMZM2G124815"	1	0	0	0	1	0	2	0	3	0	0	0
"GRMZM2G124820"	1	0	0	1	20	6	0	2	0	1	5	8
"GRMZM2G124838"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124843"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124863"	24	12	31	34	0	0	13	9	70	74	1	0
"GRMZM2G124872"	1	1	1	2	2	5	7	12	11	9	16	15
"GRMZM2G124876"	0	0	1	0	0	0	1	2	1	0	0	0
"GRMZM2G124880"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G124882"	1	1	1	0	0	1	2	2	0	1	0	0
"GRMZM2G124883"	10	16	4	7	3	2	17	5	6	0	0	0
"GRMZM2G124886"	10	5	15	8	4	3	3	0	9	6	1	0
"GRMZM2G124890"	4	2	20	2	9	1	20	11	1287	869	74	55
"GRMZM2G124911"	77	53	244	221	85	46	128	125	271	299	67	73
"GRMZM2G124915"	162	205	578	724	237	225	182	116	510	387	101	129
"GRMZM2G124918"	3	3	18	33	0	1	15	18	142	126	1	3
"GRMZM2G124919"	0	0	0	0	0	0	1	0	0	0	0	0
"GRMZM2G124921"	0	0	0	0	1	0	0	1	0	0	0	0
"GRMZM2G124927"	3	2	15	14	0	0	0	3	1	0	0	0
"GRMZM2G124938"	0	0	2	1	0	0	0	1	0	1	1	3
"GRMZM2G124948"	0	0	0	1	0	0	0	0	1	0	0	0
"GRMZM2G124954"	0	0	0	0	0	0	0	0	0	0	0	2
"GRMZM2G124963"	8	8	0	1	23	5	47	55	3	4	7	10
"GRMZM2G124965"	26	29	64	84	22	17	48	41	96	85	47	37
"GRMZM2G124972"	0	0	0	0	1	0	0	0	1	0	0	0
"GRMZM2G124974"	44	42	192	190	90	71	136	174	848	691	150	266
"GRMZM2G124975"	47	25	129	134	239	185	61	44	226	223	274	297
"GRMZM2G125001"	0	0	4	0	0	0	2	4	12	2	0	0
"GRMZM2G125004"	4	4	20	1	6	7	14	6	126	54	5	6
"GRMZM2G125012"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125020"	0	1	1	0	4	2	1	0	0	1	1	2
"GRMZM2G125023"	4	2	0	0	0	1	4	0	0	0	0	0
"GRMZM2G125026"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125032"	0	0	0	0	1	0	0	0	0	0	0	0
"GRMZM2G125034"	12	17	23	43	48	26	8	16	91	61	14	23
"GRMZM2G125037"	29	19	0	0	0	1	4	1	0	0	0	0
"GRMZM2G125044"	48	93	266	276	186	199	80	63	250	161	76	109
"GRMZM2G125045"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125052"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125054"	14	32	82	90	40	32	31	38	61	77	39	31
"GRMZM2G125072"	6	4	52	49	38	52	9	8	102	90	37	66
"GRMZM2G125081"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125083"	0	0	0	0	9	6	0	1	0	0	4	6
"GRMZM2G125092"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125095"	0	0	1	0	1	0	0	0	0	0	0	0
"GRMZM2G125112"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125121"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125130"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125131"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125138"	30	49	127	111	175	147	34	56	135	141	148	212
"GRMZM2G125140"	6	4	48	41	15	18	9	7	40	42	20	22
"GRMZM2G125146"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125148"	13	7	20	12	25	10	62	57	10	3	13	16
"GRMZM2G125149"	14	14	8	7	54	35	12	14	9	6	44	60
"GRMZM2G125151"	0	0	1	0	0	0	0	0	3	1	0	0
"GRMZM2G125156"	0	0	2	1	1	0	1	2	3	3	1	1
"GRMZM2G125162"	10	5	37	37	0	0	21	11	96	100	0	0
"GRMZM2G125165"	0	0	0	0	0	0	0	1	0	0	0	0
"GRMZM2G125170"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125175"	37	61	222	185	65	52	50	32	198	131	44	43
"GRMZM2G125193"	47	38	46	64	8	10	54	64	92	67	6	8
"GRMZM2G125196"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125201"	0	0	0	0	0	0	0	0	3	0	0	0
"GRMZM2G125206"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125207"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125216"	0	1	1	0	0	0	11	13	0	0	0	0
"GRMZM2G125233"	7	0	0	2	1	0	4	0	0	0	1	0
"GRMZM2G125237"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125239"	24	21	100	98	60	31	26	19	36	48	40	45
"GRMZM2G125241"	417	377	32	40	16	6	320	274	7	22	1	4
"GRMZM2G125243"	0	0	0	0	1	0	2	0	2	2	0	0
"GRMZM2G125259"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125262"	0	0	0	0	0	1	0	0	0	0	0	0
"GRMZM2G125263"	10	11	56	55	8	7	4	1	7	20	3	2
"GRMZM2G125266"	20	15	72	79	52	42	24	25	35	34	37	76
"GRMZM2G125268"	1	2	1	1	0	5	0	0	9	8	10	0
"GRMZM2G125271"	369	377	242	230	305	249	710	613	138	84	110	128
"GRMZM2G125294"	59	66	392	384	174	162	99	101	463	491	181	239
"GRMZM2G125300"	24	27	14	14	50	23	43	43	18	16	28	14
"GRMZM2G125301"	6	3	5	3	0	0	3	1	3	5	0	1
"GRMZM2G125304"	29	27	57	57	22	9	50	49	51	53	22	17
"GRMZM2G125308"	1	10	8	6	22	2	10	11	5	6	15	11
"GRMZM2G125310"	454	492	1084	1103	990	607	757	672	1665	1615	687	808
"GRMZM2G125314"	2	3	10	0	58	8	23	29	667	523	617	525
"GRMZM2G125317"	0	0	0	2	2	0	0	0	0	0	1	0
"GRMZM2G125320"	5	9	50	47	41	25	10	13	47	56	12	19
"GRMZM2G125337"	1	2	1	0	0	0	4	4	0	0	0	5
"GRMZM2G125339"	1	0	0	0	0	1	9	5	0	0	1	0
"GRMZM2G125342"	22	28	101	90	62	37	34	41	140	102	34	47
"GRMZM2G125345"	15	8	4	6	5	0	23	9	7	25	0	2
"GRMZM2G125350"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125352"	17	13	66	50	22	15	21	26	62	57	26	18
"GRMZM2G125356"	0	0	0	0	0	0	0	0	2	0	0	0
"GRMZM2G125359"	0	0	0	0	0	1	0	0	0	0	3	3
"GRMZM2G125378"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125386"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125387"	0	0	0	1	0	0	0	0	0	0	0	0
"GRMZM2G125411"	38	30	130	216	189	241	55	54	302	258	226	354
"GRMZM2G125414"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G125424"	4	4	6	8	12	29	6	6	2	0	3	1
"GRMZM2G125432"	0	0	0	0	16	12	0	0	0	1	5	10
"GRMZM2G125436"	0	0	0	0	0	0	0	0	2	0	0	0
"GRMZM2G125441"	8	3	0	1	0	0	34	22	4	6	0	5
"GRMZM2G125448"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125449"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125452"	165	214	238	275	300	199	404	357	622	511	189	265
"GRMZM2G125455"	14	25	45	51	2	12	43	34	244	241	124	108
"GRMZM2G125460"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125476"	0	0	0	0	0	0	0	0	1	0	2	3
"GRMZM2G125482"	5	4	0	0	4	0	8	7	1	0	1	0
"GRMZM2G125487"	9	7	30	41	74	44	15	8	26	34	60	64
"GRMZM2G125494"	3	5	13	10	5	9	8	8	15	11	4	11
"GRMZM2G125495"	12	15	22	9	10	6	12	8	17	11	17	13
"GRMZM2G125501"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125504"	4	0	2	1	1	4	1	0	4	3	1	1
"GRMZM2G125507"	3	3	12	6	6	11	1	3	17	8	5	5
"GRMZM2G125512"	126	126	134	174	96	85	130	121	452	471	184	260
"GRMZM2G125513"	2	0	0	0	0	1	0	3	1	1	0	0
"GRMZM2G125516"	31	7	2	2	6	2	41	53	9	8	1	0
"GRMZM2G125520"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125522"	7	2	2	8	18	13	25	40	128	107	33	25
"GRMZM2G125524"	0	1	11	7	1	1	6	2	6	3	0	9
"GRMZM2G125527"	393	430	332	322	479	294	898	901	351	339	172	271
"GRMZM2G125529"	41	64	879	902	364	338	63	53	888	933	549	964
"GRMZM2G125531"	76	74	252	319	208	192	113	111	430	336	152	199
"GRMZM2G125544"	86	78	393	425	180	149	94	72	272	271	52	41
"GRMZM2G125552"	0	0	0	0	0	6	0	0	9	1	0	2
"GRMZM2G125556"	1	14	11	14	79	62	51	61	511	356	77	74
"GRMZM2G125557"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125561"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125566"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125571"	10	7	27	19	61	14	9	5	10	7	65	60
"GRMZM2G125575"	0	0	0	1	0	1	0	0	0	0	0	0
"GRMZM2G125578"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125585"	0	0	5	1	1	3	1	4	14	11	3	6
"GRMZM2G125587"	0	0	0	0	0	0	0	4	1	0	1	1
"GRMZM2G125596"	59	93	157	163	97	82	75	65	111	126	57	85
"GRMZM2G125598"	0	0	2	1	0	0	0	0	3	0	0	3
"GRMZM2G125617"	0	0	10	12	20	23	4	9	14	9	11	11
"GRMZM2G125635"	544	566	2106	2193	2382	1691	803	752	5546	5379	1481	1174
"GRMZM2G125640"	1	2	3	2	2	0	0	0	1	3	2	0
"GRMZM2G125642"	13	10	75	93	40	20	18	18	93	73	26	31
"GRMZM2G125643"	11	5	7	18	22	17	24	19	91	49	49	70
"GRMZM2G125648"	0	0	0	0	0	0	2	1	0	0	0	0
"GRMZM2G125649"	10	10	29	17	4	0	2	1	6	4	0	0
"GRMZM2G125653"	2	8	1	1	1	2	11	9	6	5	2	5
"GRMZM2G125656"	7	4	11	16	34	34	28	15	273	285	114	291
"GRMZM2G125659"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125668"	189	206	647	593	296	254	417	332	857	716	292	481
"GRMZM2G125669"	0	0	0	0	6	0	0	0	2	0	0	4
"GRMZM2G125677"	0	0	5	1	11	17	0	0	2	4	3	3
"GRMZM2G125679"	0	0	0	0	1	0	0	0	1	1	0	1
"GRMZM2G125688"	3	0	2	2	0	4	1	2	1	1	3	1
"GRMZM2G125704"	1	2	47	52	25	29	0	0	17	15	9	3
"GRMZM2G125728"	50	68	124	132	188	175	71	67	166	189	105	111
"GRMZM2G125729"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125731"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125738"	0	0	1	0	0	0	0	0	0	0	0	0
"GRMZM2G125744"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125745"	0	0	1	0	0	0	0	1	2	0	0	0
"GRMZM2G125747"	5	6	33	20	9	6	16	15	33	39	28	24
"GRMZM2G125762"	9	11	27	22	15	8	12	9	24	10	3	11
"GRMZM2G125768"	12	15	9	12	3	0	27	28	11	13	10	2
"GRMZM2G125775"	2	7	9	5	29	9	1	4	0	0	5	19
"GRMZM2G125777"	80	73	273	243	208	148	149	137	381	378	225	300
"GRMZM2G125784"	42	21	34	49	47	42	47	39	35	31	13	6
"GRMZM2G125785"	0	0	2	0	0	1	0	0	3	1	0	0
"GRMZM2G125800"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125802"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125810"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125812"	2	1	15	13	6	10	9	4	20	9	3	4
"GRMZM2G125813"	0	0	0	4	1	0	0	0	0	0	0	0
"GRMZM2G125815"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G125821"	0	0	0	0	0	0	2	0	1	0	0	0
"GRMZM2G125823"	0	0	0	0	346	193	0	0	0	0	119	106
"GRMZM2G125832"	6	7	16	48	3	1	4	10	10	0	0	0
"GRMZM2G125838"	3	5	146	134	140	105	14	16	202	180	76	91
"GRMZM2G125839"	0	0	0	0	0	0	0	1	0	0	0	0
"GRMZM2G125847"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G125850"	130	103	406	405	194	56	812	613	2656	3318	1811	2944
"GRMZM2G125853"	1	2	6	9	78	62	2	6	10	22	24	24
"GRMZM2G125867"	0	0	0	0	0	0	0	0	0	2	0	0
"GRMZM2G125889"	0	0	0	0	2	0	0	0	0	0	5	8
"GRMZM2G125891"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125893"	431	507	1244	1221	499	334	897	727	1176	1067	711	1119
"GRMZM2G125905"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125918"	0	1	0	0	0	0	3	1	0	0	0	0
"GRMZM2G125923"	24	11	0	0	2	5	13	9	0	0	0	1
"GRMZM2G125931"	1	0	5	3	15	14	22	14	93	99	64	100
"GRMZM2G125934"	0	0	0	0	0	0	0	0	2	0	0	0
"GRMZM2G125935"	31	24	47	29	33	30	39	49	44	40	19	25
"GRMZM2G125943"	0	1	13	15	1	0	1	2	1	1	0	0
"GRMZM2G125947"	7	7	8	16	3	3	5	0	10	11	1	6
"GRMZM2G125954"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125962"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G125969"	13	13	9	11	10	6	5	3	2	1	6	8
"GRMZM2G125976"	2	5	0	0	2	0	7	6	0	0	2	7
"GRMZM2G125977"	271	385	1719	1704	1007	1004	331	359	1845	1621	669	671
"GRMZM2G125985"	0	0	0	0	0	0	0	0	1	3	9	2
"GRMZM2G125987"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G125991"	0	0	0	0	2	8	3	2	0	0	0	0
"GRMZM2G126002"	24	35	60	79	287	178	77	88	209	223	391	523
"GRMZM2G126004"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126006"	0	0	0	0	0	1	1	0	0	0	1	0
"GRMZM2G126007"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126010"	0	2	1	5	1	0	3	2	7	5	2	10
"GRMZM2G126018"	15	21	47	42	1	3	50	32	70	51	0	2
"GRMZM2G126019"	23	26	6	20	9	4	26	14	14	9	6	1
"GRMZM2G126026"	27	39	54	49	76	64	117	105	161	173	434	488
"GRMZM2G126030"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126032"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126038"	117	82	328	380	273	247	235	201	472	560	160	234
"GRMZM2G126046"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126048"	0	0	3	0	3	1	0	0	0	3	2	3
"GRMZM2G126049"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126055"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G126057"	9	10	11	4	0	1	18	21	20	5	0	0
"GRMZM2G126062"	0	1	0	1	1	0	0	0	0	0	0	0
"GRMZM2G126069"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126077"	1	1	3	0	0	0	2	2	5	3	0	0
"GRMZM2G126079"	1	0	1	6	6	2	2	2	2	4	2	0
"GRMZM2G126083"	0	0	0	0	0	0	0	2	7	0	0	0
"GRMZM2G126096"	11	11	24	32	4	5	27	25	163	44	4	8
"GRMZM2G126106"	6	6	9	4	1	0	10	13	9	2	1	3
"GRMZM2G126108"	2	4	45	40	4	7	0	0	7	5	0	0
"GRMZM2G126110"	2	8	6	30	0	1	4	6	12	6	0	3
"GRMZM2G126120"	7	3	5	1	1	6	6	4	7	1	0	0
"GRMZM2G126126"	0	0	0	0	0	1	0	0	0	0	0	0
"GRMZM2G126128"	232	304	1189	1419	641	621	624	645	2649	2645	521	1022
"GRMZM2G126134"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126141"	0	1	5	8	1	1	0	2	5	3	1	4
"GRMZM2G126145"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G126148"	1	0	1	1	1	0	0	1	11	4	0	1
"GRMZM2G126153"	0	0	2	1	2	3	0	0	2	1	0	0
"GRMZM2G126161"	14	22	18	39	26	25	20	12	26	44	11	22
"GRMZM2G126168"	0	0	1	3	0	0	1	2	4	1	0	0
"GRMZM2G126170"	16	23	59	61	48	43	36	28	140	100	26	49
"GRMZM2G126173"	1	0	1	0	0	0	0	0	2	0	0	0
"GRMZM2G126175"	1	2	4	5	3	3	2	3	5	8	7	1
"GRMZM2G126177"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126182"	23	24	35	17	10	6	36	30	14	25	26	20
"GRMZM2G126186"	0	0	5	0	4	2	1	0	0	1	0	4
"GRMZM2G126190"	1723	2051	7271	8198	2399	2313	1228	1159	5336	5194	1274	1176
"GRMZM2G126194"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G126196"	0	0	0	0	0	0	0	0	0	0	0	1
"GRMZM2G126197"	0	0	3	2	2	0	1	1	2	3	2	4
"GRMZM2G126199"	4	1	5	5	5	0	3	6	8	1	4	3
"GRMZM2G126204"	2	0	3	5	0	2	0	0	2	3	0	1
"GRMZM2G126207"	18	16	57	61	12	6	31	31	130	90	13	20
"GRMZM2G126214"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126216"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G126218"	12	17	57	26	32	27	7	4	35	25	19	24
"GRMZM2G126220"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126235"	27	26	83	105	48	41	31	44	38	36	23	12
"GRMZM2G126237"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126239"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126245"	1	0	1	0	0	0	1	2	3	4	0	1
"GRMZM2G126251"	2	0	0	3	3	3	1	2	0	1	0	0
"GRMZM2G126253"	68	50	343	416	152	153	78	90	288	366	87	107
"GRMZM2G126260"	39	57	49	47	0	0	9	11	1	0	0	0
"GRMZM2G126261"	29	25	267	214	146	119	10	15	37	42	31	21
"GRMZM2G126264"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126266"	69	52	180	198	76	88	55	53	190	148	60	92
"GRMZM2G126270"	0	0	2	0	0	1	0	0	6	1	0	0
"GRMZM2G126285"	0	0	0	0	0	0	0	1	0	0	0	0
"GRMZM2G126288"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126290"	10	17	16	19	18	14	27	14	40	54	15	20
"GRMZM2G126292"	13	16	48	60	40	46	24	13	55	33	19	29
"GRMZM2G126302"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G126309"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126325"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G126338"	21	22	98	100	383	308	47	47	40	22	99	67
