""	"Tausta_2014.M.Section_4.1"	"Tausta_2014.M.Section_4.2"	"Tausta_2014.M.Section_9.1"	"Tausta_2014.M.Section_9.2"	"Tausta_2014.M.Section_14.1"	"Tausta_2014.M.Section_14.2"	"Tausta_2014.BS.Section_4.1"	"Tausta_2014.BS.Section_4.2"	"Tausta_2014.BS.Section_9.1"	"Tausta_2014.BS.Section_9.2"	"Tausta_2014.BS.Section_14.1"	"Tausta_2014.BS.Section_14.2"
"AC177884.3_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177886.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177888.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177889.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177889.2_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177890.3_FG005"	1	0	0	0	0	0	0	0	0	0	0	0
"AC177893.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177893.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177893.3_FG006"	0	0	0	0	0	0	0	0	1	0	0	0
"AC177897.2_FG002"	1	1	1	1	0	0	1	0	0	1	0	0
"AC177897.2_FG020"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177897.2_FG021"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177897.2_FG022"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177897.2_FG025"	0	0	1	0	0	0	0	0	0	0	1	0
"AC177897.2_FG029"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177897.2_FG036"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177899.2_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177899.2_FG012"	0	0	0	0	0	0	0	0	1	0	0	0
"AC177900.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177901.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177901.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177902.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177903.4_FG002"	0	1	0	0	0	0	0	0	0	0	0	0
"AC177905.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177905.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177905.2_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177907.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177908.3_FG002"	1	4	5	4	7	3	3	4	9	13	3	3
"AC177908.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177908.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177909.3_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177910.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177911.4_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177913.4_FG002"	0	0	0	0	0	0	0	0	1	0	0	0
"AC177914.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177915.2_FG022"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177917.1_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177919.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177920.3_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177922.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177922.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177922.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177924.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177924.2_FG003"	0	1	0	0	0	0	5	3	1	1	0	0
"AC177925.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177926.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177926.2_FG017"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177930.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177930.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177933.2_FG002"	0	0	0	0	0	0	0	0	1	0	0	0
"AC177933.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177933.2_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177934.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177936.6_FG008"	14	13	70	73	38	49	21	32	43	64	20	20
"AC177939.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177940.4_FG006"	0	0	0	0	0	0	0	0	1	0	0	0
"AC177941.3_FG001"	0	0	0	0	0	0	0	0	1	0	1	0
"AC177941.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177941.3_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177944.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177945.3_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177946.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177946.2_FG006"	0	0	1	0	0	0	0	0	0	0	0	0
"AC177946.2_FG009"	0	0	0	0	0	0	0	1	0	0	0	0
"AC177947.2_FG003"	0	0	0	0	0	0	0	0	0	0	1	0
"AC182101.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182101.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182105.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182105.3_FG005"	0	0	0	0	0	0	0	0	2	1	0	0
"AC182105.3_FG006"	0	0	0	0	0	0	0	0	1	0	0	0
"AC182110.4_FG002"	0	0	0	0	0	0	1	1	0	0	0	0
"AC182413.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182413.4_FG012"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182414.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182414.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182415.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182417.4_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182420.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182439.4_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182440.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182440.4_FG003"	0	0	0	0	0	0	0	0	1	0	0	0
"AC182481.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182482.3_FG003"	0	3	2	2	4	7	23	20	107	142	62	89
"AC182603.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182606.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182606.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182608.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182611.4_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182615.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182615.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182615.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182617.3_FG001"	19	15	26	35	5	4	16	6	30	26	7	13
"AC182618.3_FG001"	0	0	0	0	0	0	0	0	1	0	0	0
"AC182622.3_FG004"	0	0	0	0	6	5	0	0	0	0	1	3
"AC182622.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182623.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182627.2_FG003"	0	0	0	0	0	0	0	0	0	1	0	0
"AC182819.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182819.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182823.3_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182824.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182826.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182830.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182830.3_FG004"	0	0	0	0	0	0	0	0	1	0	0	0
"AC182831.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182833.3_FG013"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182833.3_FG014"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182835.3_FG004"	0	0	0	0	0	0	0	0	1	0	0	0
"AC182838.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183307.5_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183314.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183314.3_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183315.4_FG006"	9	1	5	2	2	5	6	5	12	9	7	17
"AC183318.3_FG001"	0	0	0	0	8	3	1	0	0	1	5	15
"AC183319.3_FG001"	68	112	161	184	99	89	40	23	75	78	29	34
"AC183372.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183372.4_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183412.5_FG005"	1	1	0	0	0	0	1	0	1	0	0	0
"AC183413.3_FG006"	0	1	1	0	0	0	0	0	1	0	0	0
"AC183503.2_FG001"	0	0	2	0	0	0	0	0	0	0	0	0
"AC183503.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183503.2_FG003"	1	0	0	0	0	0	0	0	1	0	0	0
"AC183504.4_FG003"	0	0	0	0	0	0	2	0	0	0	0	0
"AC183509.1_FG001"	0	0	0	1	0	0	0	1	1	3	1	4
"AC183509.1_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183510.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183511.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183514.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183514.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183518.2_FG001"	0	1	0	1	0	0	1	0	1	1	0	0
"AC183521.2_FG006"	0	1	0	0	0	0	0	1	0	0	0	0
