""	"BS.S4.vs.M.S4"	"BS.S9.vs.M.S9"	"BS.S14.vs.M.S14"
"AC183315.4_FG006"	-0.0982473458363607	1.51725199240089	1.66768678228456
"AC183318.3_FG001"	3.09191661116382	1.723185149075	0.789169272455494
"AC183319.3_FG001"	-1.67382970706721	-1.16137969532154	-1.59567229393789
"AC183372.4_FG006"	0	0	0
"AC183372.4_FG008"	0	0	0
"AC183412.5_FG005"	-1.08496801634662	1.7037804010969	0
"AC183413.3_FG006"	-3.23379171952071	-0.0127957098908527	0
"AC183503.2_FG001"	0	-2.48157489324129	0
"AC183503.2_FG002"	0	0	0
"AC183503.2_FG003"	-3.26881585642697	1.70410789702367	0
"AC183504.4_FG003"	3.99562572824513	0	0
"AC183509.1_FG001"	3.1134867289006	1.65112381203903	4.7455630901667
"AC183509.1_FG002"	0	0	0
"AC183510.4_FG001"	0	0	0
"AC183511.4_FG003"	0	0	0
"AC183514.3_FG005"	0	0	0
"AC183514.3_FG006"	0	0	0
"AC183518.2_FG001"	-0.144923408018597	0.767578447667893	0
"AC183521.2_FG006"	-0.121669729127459	0	0
"AC183590.4_FG001"	0	0	0
"AC183590.4_FG003"	0	0	0
"AC183591.3_FG003"	0	0	0
"AC183656.2_FG005"	0	0	0
"AC183657.2_FG001"	0	0	0
"AC183659.4_FG005"	0	0	0
"AC183659.4_FG006"	0	0	0
"AC183661.3_FG004"	0	0	0
"AC183757.3_FG001"	0	0	0
"AC183758.4_FG005"	0	0	0
"AC183758.4_FG006"	0	0	0
"AC183758.4_FG007"	0	0	0
"AC183782.3_FG002"	0	0	0
"AC183783.4_FG004"	0	0	0
"AC183788.3_FG002"	0	1.72457419206718	0
"AC183811.3_FG003"	0	0	0
"AC183815.4_FG004"	0	0	0
"AC183817.2_FG002"	0	1.7042837093729	0
"AC183818.2_FG001"	0	0	0
"AC183820.4_FG002"	0	0	0
"AC183822.3_FG001"	0	0	0
"AC183822.3_FG003"	0	0	0
"AC183823.3_FG006"	0	0	0
"AC183825.3_FG003"	0	0	0
"AC183888.4_FG006"	0	0	0
"AC183888.4_FG008"	0	0	0
"AC183895.3_FG001"	0	1.7042837093729	0
"AC183895.3_FG003"	0	0	0
"AC183899.3_FG001"	0	0	0
"AC183900.3_FG002"	0	1.7042837093729	0
"AC183901.2_FG010"	0	0	0
"AC183907.3_FG001"	0	0	0
"AC183907.3_FG003"	0	0	0
"AC183912.3_FG002"	0	0	0
"AC183914.3_FG002"	0	2.4763564770562	0
"AC183914.3_FG004"	0	0	0
"AC183915.4_FG001"	3.09041733284543	1.70411043320575	0
"AC183915.4_FG002"	0	1.7042837093729	0
"AC183917.3_FG004"	3.09345883294709	6.0847559868256	1.53816712262477
"AC183926.3_FG003"	0	0	0
"AC183926.3_FG005"	0	0	0
"AC183927.3_FG003"	0	0	0
"AC183927.3_FG004"	0	-1.71659708450271	0
"AC183928.4_FG001"	0	0	0
"AC183928.4_FG006"	0	0	0
"AC183929.4_FG003"	0	0	0
"AC183932.3_FG004"	0	0	0
"AC183932.3_FG007"	-0.14351769339928	0	2.68745789823124
"AC183933.2_FG003"	0	0	0
"AC183938.4_FG004"	0	1.7042837093729	0
"AC183938.4_FG011"	0	1.72457419206718	0
"AC183938.4_FG014"	0	0	0
"AC183939.3_FG003"	0	0	0
"AC183939.3_FG005"	0	0	0
"AC183943.3_FG001"	0	0	0
"AC183944.4_FG002"	0	0	0
"AC183944.4_FG003"	0	0	0
"AC183950.2_FG002"	0	0	0
"AC183950.2_FG003"	0	0	0
"AC183950.2_FG004"	-4.17358798288835	0	1.85074704482579
"AC183950.2_FG005"	0	1.7042837093729	0
"AC183956.3_FG002"	0	0	0
"AC183968.2_FG001"	0	0	0
"AC183969.3_FG001"	0	0	0
"AC183969.3_FG003"	0	0	0
"AC183969.3_FG008"	0	0	0
"AC183974.4_FG001"	0	0	0
"AC184048.4_FG002"	0	0	0
"AC184048.4_FG011"	0	0	0
"AC184048.4_FG013"	0	0	0
"AC184050.2_FG002"	0	0	0
"AC184050.2_FG004"	0	0	0
"AC184112.4_FG010"	3.09041383979711	1.72477341380175	0
"AC184113.4_FG001"	0	0	0
"AC184116.3_FG001"	3.09040095631637	0	2.63877301273114
"AC184119.3_FG004"	0	0	0
"AC184127.3_FG003"	-3.23376083758288	-1.71676541731355	2.68740491703212
"AC184129.2_FG002"	0	0	0
"AC184130.4_FG001"	0	0	0
"AC184130.4_FG005"	0	0	0
"AC184130.4_FG012"	0	0	-4.13335444940701
"AC184131.5_FG003"	0	1.7042837093729	0
"AC184131.5_FG010"	0	0	0
"AC184132.3_FG007"	0	0	0
"AC184133.3_FG001"	-0.253360259012557	-0.80226337990963	-0.0449238955438236
"AC184133.3_FG004"	0	1.7042837093729	0
"AC184138.4_FG003"	0	0	0
"AC184164.2_FG004"	0	0	0
"AC184164.2_FG005"	0	0	0
"AC184164.2_FG006"	0	0	0
"AC184165.4_FG001"	0	0	0
"AC184168.3_FG004"	0	0	0
"AC184169.3_FG001"	0	0	-2.6921079684355
"AC184170.4_FG002"	0	-1.70751405837224	0
"AC184171.4_FG002"	0	0	0
"AC184171.4_FG003"	0	0	0
