""	"Li_2010.total.Section_1.1"	"Li_2010.total.Section_1.2"	"Li_2010.total.Section_4.1"	"Li_2010.total.Section_4.2"	"Li_2010.total.Section_9.1"	"Li_2010.total.Section_9.2"	"Li_2010.total.Section_14.1"	"Li_2010.total.Section_14.2"	"Li_2010.M.Section_14.1"	"Li_2010.M.Section_14.2"	"Li_2010.BS.Section_14.1"	"Li_2010.BS.Section_14.2"
"AC177905.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177905.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177905.2_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177907.4_FG006"	1	3	0	1	1	1	0	0	0	0	0	0
"AC177908.3_FG002"	122	273	80	92	29	30	8	32	7	3	3	3
"AC177908.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177908.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177909.3_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177910.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177911.4_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177913.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177914.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177915.2_FG022"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177917.1_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177919.3_FG004"	3	5	0	2	0	0	0	0	0	0	0	0
"AC177920.3_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177922.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177922.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177922.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177924.2_FG001"	0	0	0	0	0	0	0	1	0	0	0	0
"AC177924.2_FG003"	0	0	4	14	70	31	8	16	0	0	0	0
"AC177925.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177926.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177926.2_FG017"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177930.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177930.2_FG002"	1	0	0	0	0	1	0	0	0	0	0	0
"AC177933.2_FG002"	0	0	0	0	0	0	0	1	0	0	0	0
"AC177933.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177933.2_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177934.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177936.6_FG008"	47	83	43	78	80	90	34	83	38	49	20	20
"AC177939.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177940.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177941.3_FG001"	0	0	0	0	0	0	0	0	0	0	1	0
"AC177941.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177941.3_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177944.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177945.3_FG009"	0	0	0	3	3	3	2	5	0	0	0	0
"AC177946.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177946.2_FG006"	1	0	0	0	0	0	0	0	0	0	0	0
"AC177946.2_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177947.2_FG003"	2	3	1	0	0	5	0	2	0	0	1	0
"AC182101.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182101.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182105.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182105.3_FG005"	0	0	0	0	1	0	0	0	0	0	0	0
"AC182105.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182110.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182413.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182413.4_FG012"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182414.3_FG001"	0	0	0	0	0	0	0	2	0	0	0	0
"AC182414.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182415.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182417.4_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182420.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182439.4_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182440.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182440.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182481.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182482.3_FG003"	0	1	3	3	290	273	161	325	4	7	62	89
"AC182603.4_FG003"	0	0	0	0	1	1	1	1	0	0	0	0
"AC182606.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182606.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182608.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182611.4_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182615.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182615.4_FG002"	0	1	0	0	1	0	0	0	0	0	0	0
"AC182615.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182617.3_FG001"	119	321	156	220	105	93	43	87	5	4	7	13
"AC182618.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182622.3_FG004"	0	0	0	0	5	2	5	6	6	5	1	3
"AC182622.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182623.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182627.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182819.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182819.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182823.3_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182824.4_FG001"	0	0	0	0	0	1	0	0	0	0	0	0
"AC182826.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182830.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182830.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182831.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182833.3_FG013"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182833.3_FG014"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182835.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC182838.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183307.5_FG001"	0	1	0	0	0	0	1	0	0	0	0	0
"AC183314.3_FG001"	0	1	0	0	1	0	0	0	0	0	0	0
"AC183314.3_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183315.4_FG006"	4	9	41	66	89	76	44	121	2	5	7	17
"AC183318.3_FG001"	5	6	35	59	49	43	41	57	8	3	5	15
