""	"BS.S5.vs.M.S5"	"BS.S4.vs.M.S4"	"BS.S3.vs.M.S3"	"BS.S2.vs.M.S2"	"BS.S1.vs.M.S1"
"AC177925.2_FG003"	1	1	1	1	1
"AC177926.2_FG003"	1	1	1	1	1
"AC177926.2_FG017"	1	1	1	1	1
"AC177930.2_FG001"	1	1	1	1	1
"AC177930.2_FG002"	1	1	1	1	1
"AC177933.2_FG002"	1	1	1	1	1
"AC177933.2_FG003"	1	1	1	1	1
"AC177933.2_FG005"	1	1	1	1	1
"AC177934.2_FG001"	1	1	1	1	1
"AC177936.6_FG008"	1	1	1	0.131469439913833	1
"AC177939.3_FG004"	1	1	1	1	1
"AC177940.4_FG006"	0.778714344228227	1	1	0.914080613491125	1
"AC177941.3_FG001"	1	1	1	1	1
"AC177941.3_FG006"	1	1	1	1	1
"AC177941.3_FG008"	1	1	1	1	1
"AC177944.2_FG001"	1	1	1	1	1
"AC177945.3_FG009"	1	1	0.201765860599292	0.0417007597520407	0.251260331669694
"AC177946.2_FG004"	1	1	1	1	1
"AC177946.2_FG006"	1	1	1	1	1
"AC177946.2_FG009"	1	1	1	1	1
"AC177947.2_FG003"	1	1	0.61650106563469	1	1
"AC182101.3_FG001"	1	1	1	1	1
"AC182101.3_FG006"	1	1	1	1	1
"AC182105.3_FG001"	1	1	1	1	1
"AC182105.3_FG005"	1	1	1	1	1
"AC182105.3_FG006"	1	1	1	1	1
"AC182110.4_FG002"	1	1	1	0.840982438127983	1
"AC182413.4_FG002"	1	1	1	0.840982438127983	1
"AC182413.4_FG012"	1	1	1	1	1
"AC182414.3_FG001"	1	1	1	0.849500757757036	1
"AC182414.3_FG003"	1	1	1	1	1
"AC182415.4_FG001"	1	1	1	1	1
"AC182417.4_FG004"	1	1	1	1	1
"AC182420.4_FG001"	1	1	1	1	1
"AC182439.4_FG004"	1	1	1	1	1
"AC182440.4_FG002"	1	1	1	1	1
"AC182440.4_FG003"	1	1	1	1	1
"AC182481.3_FG003"	1	1	1	1	1
"AC182482.3_FG003"	0.87770222400178	0.00574245802675672	0.00364004427581921	3.63429531988243e-05	4.13028362821239e-05
"AC182603.4_FG003"	1	1	1	0.203182191348632	0.69631333198369
"AC182606.4_FG001"	0.501495764041408	1	1	1	1
"AC182606.4_FG002"	1	1	1	0.840982438127983	1
"AC182608.4_FG001"	1	1	1	1	1
"AC182611.4_FG004"	1	1	1	1	1
"AC182615.4_FG001"	1	1	1	1	1
"AC182615.4_FG002"	1	1	1	0.492216899312932	0.843051352784547
"AC182615.4_FG003"	1	1	1	1	1
"AC182617.3_FG001"	1	1	1	1	1
"AC182618.3_FG001"	1	1	1	1	1
"AC182622.3_FG004"	0.845774698675793	1	0.915451419494995	0.694616176969415	0.690222212540824
"AC182622.3_FG005"	1	1	1	1	1
"AC182623.3_FG004"	1	1	1	1	1
"AC182627.2_FG003"	1	1	1	1	1
"AC182819.4_FG002"	1	1	1	1	1
"AC182819.4_FG003"	1	1	1	1	1
"AC182823.3_FG007"	1	1	1	1	1
"AC182824.4_FG001"	1	1	1	1	1
"AC182826.4_FG003"	1	1	1	1	1
"AC182830.3_FG003"	1	1	1	1	1
"AC182830.3_FG004"	1	1	1	1	1
"AC182831.3_FG004"	1	1	1	1	1
"AC182833.3_FG013"	1	1	1	1	1
"AC182833.3_FG014"	1	1	1	1	1
"AC182835.3_FG004"	1	1	1	1	1
"AC182838.3_FG006"	1	1	1	1	1
"AC183307.5_FG001"	1	1	1	0.840982438127983	1
"AC183314.3_FG001"	1	1	1	1	1
"AC183314.3_FG007"	1	1	1	1	1
"AC183315.4_FG006"	1	1	1	1	1
"AC183318.3_FG001"	0.967842345487743	1	1	1	1
"AC183319.3_FG001"	0.97997708524879	1	0.124771621728089	1	0.583797743944228
"AC183372.4_FG006"	1	1	1	0.586345318328541	1
"AC183372.4_FG008"	0.292768860471408	1	1	0.506146734045604	1
"AC183412.5_FG005"	0.560939659223825	1	1	0.849500757757036	0.858377211476735
"AC183413.3_FG006"	1	1	1	1	1
"AC183503.2_FG001"	1	1	1	1	1
"AC183503.2_FG002"	1	1	1	1	1
"AC183503.2_FG003"	1	1	1	1	1
"AC183504.4_FG003"	1	0.726105081201347	1	1	1
"AC183509.1_FG001"	1	1	1	1	1
"AC183509.1_FG002"	1	1	1	1	1
"AC183510.4_FG001"	1	1	1	1	1
"AC183511.4_FG003"	1	1	1	1	1
"AC183514.3_FG005"	1	1	1	1	1
"AC183514.3_FG006"	1	1	1	1	1
"AC183518.2_FG001"	1	1	1	1	0.760978375909186
"AC183521.2_FG006"	1	1	0.918755038290837	0.356036541973322	0.590641225246203
"AC183590.4_FG001"	1	1	1	0.840982438127983	1
"AC183590.4_FG003"	1	1	1	1	1
"AC183591.3_FG003"	1	1	1	1	1
"AC183656.2_FG005"	1	1	1	1	1
"AC183657.2_FG001"	1	1	1	1	1
