""	"LMD_S14.vs.total_S14"
"AC183822.3_FG003"	1
"AC183823.3_FG006"	1
"AC183825.3_FG003"	1
"AC183888.4_FG006"	1
"AC183888.4_FG008"	1
"AC183895.3_FG001"	0.731526141194842
"AC183895.3_FG003"	1
"AC183899.3_FG001"	0.0528676167231405
"AC183900.3_FG002"	1
"AC183901.2_FG010"	1
"AC183907.3_FG001"	1
"AC183907.3_FG003"	1
"AC183912.3_FG002"	1
"AC183914.3_FG002"	0.697603894350517
"AC183914.3_FG004"	1
"AC183915.4_FG001"	1
"AC183915.4_FG002"	1
"AC183917.3_FG004"	1
"AC183926.3_FG003"	1
"AC183926.3_FG005"	1
"AC183927.3_FG003"	1
"AC183927.3_FG004"	0.288389693367452
"AC183928.4_FG001"	1
"AC183928.4_FG006"	1
"AC183929.4_FG003"	1
"AC183932.3_FG004"	1
"AC183932.3_FG007"	0.731526141194842
"AC183933.2_FG003"	1
"AC183938.4_FG004"	0.0507623683672985
"AC183938.4_FG011"	1
"AC183938.4_FG014"	1
"AC183939.3_FG003"	1
"AC183939.3_FG005"	1
"AC183943.3_FG001"	1
"AC183944.4_FG002"	1
"AC183944.4_FG003"	1
"AC183950.2_FG002"	1
"AC183950.2_FG003"	1
"AC183950.2_FG004"	0.950430169319166
"AC183950.2_FG005"	0.003331629050255
"AC183956.3_FG002"	1
"AC183968.2_FG001"	1
"AC183969.3_FG001"	1
"AC183969.3_FG003"	1
"AC183969.3_FG008"	1
"AC183974.4_FG001"	1
"AC184048.4_FG002"	1
"AC184048.4_FG011"	1
"AC184048.4_FG013"	1
"AC184050.2_FG002"	1
"AC184050.2_FG004"	1
"AC184112.4_FG010"	1
"AC184113.4_FG001"	1
"AC184116.3_FG001"	1
"AC184119.3_FG004"	1
"AC184127.3_FG003"	1
"AC184129.2_FG002"	1
"AC184130.4_FG001"	1
"AC184130.4_FG005"	1
"AC184130.4_FG012"	0.801687789821743
"AC184131.5_FG003"	1
"AC184131.5_FG010"	1
"AC184132.3_FG007"	1
"AC184133.3_FG001"	1
"AC184133.3_FG004"	1
"AC184138.4_FG003"	1
"AC184164.2_FG004"	1
"AC184164.2_FG005"	1
"AC184164.2_FG006"	1
"AC184165.4_FG001"	1
"AC184168.3_FG004"	1
"AC184169.3_FG001"	0.0665460607348068
"AC184170.4_FG002"	0.697603894350517
"AC184171.4_FG002"	1
"AC184171.4_FG003"	1
"AC184172.3_FG001"	1
"AC184172.3_FG004"	1
"AC184691.2_FG001"	1
"AC184694.3_FG007"	1
"AC184698.4_FG004"	1
"AC184699.3_FG005"	0.389316154563544
"AC184700.4_FG003"	1
"AC184702.3_FG001"	1
"AC184703.5_FG001"	1
"AC184705.4_FG001"	1
"AC184706.2_FG001"	1
"AC184707.3_FG004"	1
"AC184764.3_FG003"	1
"AC184764.3_FG006"	1
"AC184765.4_FG004"	1
"AC184765.4_FG005"	1
"AC184766.3_FG002"	1
"AC184768.3_FG001"	1
"AC184770.3_FG001"	0.731526141194842
"AC184771.4_FG003"	1
"AC184772.3_FG001"	0.697603894350517
"AC184774.4_FG002"	1
"AC184775.2_FG002"	1
"AC184776.3_FG003"	1
"AC184778.3_FG002"	1
"AC184780.3_FG004"	1
"AC184781.4_FG010"	1
"AC184782.3_FG004"	1
"AC184783.3_FG005"	1
"AC184787.2_FG002"	1
"AC184787.2_FG003"	1
"AC184788.2_FG001"	0.731526141194842
"AC184789.4_FG002"	1
"AC184790.3_FG003"	1
"AC184794.2_FG003"	1
"AC184831.3_FG003"	0.330315033516676
"AC184831.3_FG005"	1
"AC184831.3_FG008"	1
"AC184832.2_FG001"	1
"AC184832.2_FG002"	1
"AC184834.3_FG005"	1
"AC184834.3_FG007"	1
"AC184835.3_FG003"	0.731526141194842
"AC184836.3_FG002"	1
"AC184836.3_FG003"	1
"AC184845.4_FG004"	1
"AC184851.4_FG005"	1
"AC184854.4_FG001"	1
"AC184854.4_FG003"	0.731526141194842
"AC184856.3_FG002"	1
"AC184856.3_FG007"	1
"AC184857.2_FG006"	1
"AC184858.3_FG003"	1
"AC184859.3_FG001"	1
"AC184859.3_FG002"	1
"AC184865.4_FG003"	1
"AC184866.3_FG004"	1
"AC184866.3_FG005"	1
"AC184866.3_FG007"	1
"AC184868.2_FG005"	1
"AC184868.2_FG006"	1
"AC184871.2_FG002"	0.697603894350517
"AC184871.2_FG009"	1
"AC184873.4_FG001"	1
"AC185108.3_FG006"	1
"AC185108.3_FG007"	1
"AC185108.3_FG008"	1
"AC185108.3_FG010"	1
"AC185108.3_FG011"	1
"AC185111.3_FG003"	1
"AC185111.3_FG004"	1
"AC185112.2_FG002"	1
"AC185115.2_FG005"	1
"AC185121.3_FG001"	1
"AC185122.3_FG008"	1
"AC185122.3_FG009"	1
"AC185126.3_FG002"	1
"AC185126.3_FG006"	1
"AC185128.2_FG002"	1
"AC185130.2_FG004"	1
"AC185130.2_FG005"	1
"AC185213.3_FG003"	1
"AC185216.4_FG002"	1
"AC185217.3_FG002"	1
"AC185217.3_FG003"	1
"AC185217.3_FG004"	1
"AC185217.3_FG007"	1
"AC185218.4_FG004"	1
"AC185218.4_FG007"	1
"AC185222.5_FG001"	1
"AC185222.5_FG002"	1
"AC185223.3_FG005"	1
"AC185223.3_FG007"	1
"AC185224.4_FG005"	1
"AC185226.4_FG001"	1.99409093557283e-09
"AC185226.4_FG006"	1
"AC185226.4_FG007"	1
"AC185228.4_FG002"	1
"AC185233.3_FG012"	1
"AC185234.4_FG001"	1
"AC185234.4_FG005"	1
"AC185251.3_FG002"	1
"AC185251.3_FG005"	0.697603894350517
"AC185252.4_FG002"	1
"AC185254.4_FG002"	1
"AC185254.4_FG004"	1
"AC185254.4_FG005"	0.205823066565931
"AC185256.3_FG002"	0.697603894350517
"AC185256.3_FG003"	0.731526141194842
"AC185257.3_FG002"	1
"AC185260.3_FG003"	1
"AC185261.4_FG002"	1
"AC185262.2_FG003"	1
"AC185265.3_FG003"	1
"AC185269.4_FG003"	1
"AC185272.3_FG005"	0.731526141194842
"AC185276.2_FG003"	0.15635544076094
"AC185276.2_FG004"	0.119645560106183
"AC185276.2_FG006"	1
"AC185277.2_FG001"	1
"AC185279.3_FG002"	1
"AC185281.5_FG006"	1
"AC185286.3_FG012"	0.697603894350517
"AC185287.3_FG001"	1
"AC185296.2_FG006"	1
"AC185299.3_FG002"	0.731526141194842
"AC185300.4_FG002"	1
"AC185301.3_FG001"	1
"AC185301.3_FG005"	1
"AC185304.4_FG008"	1
"AC185304.4_FG010"	0.697603894350517
"AC185305.3_FG003"	1
"AC185306.4_FG004"	1
"AC185309.5_FG001"	1
"AC185310.4_FG002"	1
"AC185313.5_FG001"	1
"AC185313.5_FG006"	1
"AC185314.4_FG008"	1
"AC185321.3_FG003"	1
"AC185322.3_FG008"	1
"AC185322.3_FG010"	1
"AC185322.3_FG011"	1
"AC185323.3_FG001"	1
"AC185323.3_FG002"	1
"AC185411.3_FG003"	1
"AC185413.3_FG002"	1
"AC185413.3_FG005"	1
"AC185414.3_FG002"	1
"AC185414.3_FG003"	0.59112333695512
"AC185415.3_FG005"	0.235289929653827
"AC185418.3_FG006"	1
"AC185418.3_FG007"	1
"AC185421.3_FG003"	1
"AC185421.3_FG005"	1
"AC185422.3_FG005"	5.52643645314033e-05
"AC185427.5_FG001"	1
"AC185427.5_FG004"	1
"AC185429.3_FG005"	1
"AC185430.3_FG003"	1
"AC185434.4_FG004"	1
"AC185436.3_FG004"	1
"AC185436.3_FG005"	1
"AC185438.2_FG001"	1
"AC185442.3_FG002"	0.0293220400386869
"AC185443.3_FG004"	1
"AC185445.3_FG001"	1
"AC185448.2_FG005"	0.418652518624476
"AC185449.3_FG006"	1
"AC185453.3_FG002"	1
"AC185455.3_FG001"	1
"AC185458.4_FG003"	1
"AC185460.3_FG004"	0.475669963112844
"AC185464.3_FG001"	1
"AC185464.3_FG003"	0.0012709844456155
"AC185466.3_FG001"	0.396322866592738
"AC185467.3_FG001"	1
"AC185468.3_FG002"	1
"AC185468.3_FG003"	1
"AC185471.3_FG005"	1
"AC185473.3_FG005"	1
"AC185474.3_FG005"	0.731526141194842
"AC185474.3_FG009"	1
"AC185475.3_FG001"	0.7781744805917
"AC185478.4_FG004"	1
"AC185478.4_FG005"	0.136726681516288
"AC185478.4_FG007"	1
"AC185479.3_FG006"	0.0213357354193544
"AC185481.5_FG001"	1
"AC185482.3_FG001"	1
"AC185487.4_FG001"	1
"AC185487.4_FG003"	1
"AC185489.3_FG001"	1
